"","x","y","sst","bt","sal","mld","depth","chl"
"1",-12.9,61.9,-0.888295234749769,-1.47199196235421,0.327580042505261,4.76210010659095,NA,-0.370387362933555
"2",-12.7,61.9,-0.882149519341106,-1.46257150727306,0.331296122056955,4.80551100047881,NA,-0.398229708618641
"3",-12.5,61.9,-1.14809300387757,-1.47723118304495,0.337017758534341,5.05274994435007,NA,-0.361570171660574
"4",-12.3,61.9,-1.27149615837769,-1.495696019857,0.337803347760484,4.89299467510984,NA,-0.384715808029089
"5",-12.1,61.9,-1.04903691543831,-1.47515948747341,0.328168275504448,4.59358262160528,NA,-0.363991100381539
"6",-11.9,61.9,-0.928411123814382,-1.48267583173734,0.307025781960921,4.48742801164139,NA,-0.348128575688687
"7",-11.7,61.9,-0.957856790487498,-1.52394593355422,0.307400278151895,4.6272281511178,NA,-0.380456227479622
"8",-11.5,61.9,-0.886883933366258,-1.5309901997152,0.308420673027929,4.80526692352889,NA,-0.382590697125788
"9",-11.3,61.9,-1.08531842359219,-1.47942051397297,0.319952830363127,3.60668889747255,NA,-0.375319291496507
"10",-11.1,61.9,-1.03105010132212,-1.44808726573386,0.326479807808749,2.66073106584238,NA,-0.379769854389624
"11",-10.9,61.9,-0.987353984438844,-1.42128274355422,0.330462509642842,2.79325088653285,NA,-0.387985179527132
"12",-10.7,61.9,-1.1369044006887,-1.40425607600153,0.333125475095203,2.72224114185144,NA,-0.379054203520096
"13",-10.5,61.9,-1.22955235233272,-1.37780173829705,0.32944264439588,2.50352835522467,NA,-0.399096625194482
"14",-10.3,61.9,-1.29838423136084,-1.39635044996484,0.326045336884217,2.37292511885279,NA,-0.387975772110438
"15",-10.1,61.9,-1.32932176402922,-1.44058052382507,0.329820373538167,2.83499818209973,NA,-0.385180274705085
"16",-9.9,61.9,-1.3259783451652,-1.46171112020332,0.346780499874232,2.70676464592198,NA,-0.399838968918671
"17",-9.7,61.9,-1.38719881042001,-1.43331202682285,0.364317619011775,2.17109993655848,NA,-0.409226749734973
"18",-9.5,61.9,-1.30467062690154,-1.43130271073947,0.369549642457269,1.53158216117067,NA,-0.368414514396795
"19",-9.3,61.9,-1.14594987513521,-1.43024025494841,0.380253554570771,1.24230930225078,NA,-0.370876718081732
"20",-9.1,61.9,-1.22430900682263,-1.32837975899095,0.412493601222586,1.0638561438464,NA,-0.368770361706323
"21",-8.9,61.9,-1.28696508067889,-1.17096903489301,0.434159914889973,0.97814714941422,NA,-0.373282244497402
"22",-8.7,61.9,-1.18611814126934,-0.916744813671037,0.442547647904085,1.03368219012214,NA,-0.339281253449971
"23",-8.5,61.9,-1.33957059856796,-0.583473787141312,0.467051026818867,0.609688606988772,NA,-0.331909096352041
"24",-8.3,61.9,-1.43607285469782,-0.458274716874199,0.493442828694888,0.405679445964613,NA,-0.336364333309758
"25",-8.1,61.9,-1.44079956847122,-0.373369189262862,0.528750554858119,0.215484821864257,NA,-0.295489478833973
"26",-7.9,61.9,-1.40368907119314,-0.374837992422369,0.578739165899966,0.00162972198339683,NA,-0.324577199146916
"27",-7.7,61.9,-1.35512239068629,-0.36543611183592,0.577229777501326,-0.293308953231375,NA,-0.372145704110688
"28",-7.5,61.9,-1.38058076693668,-0.327158340398375,0.585919756108236,-0.229083753129805,NA,-0.393617817773712
"29",-7.3,61.9,-1.52784441719762,-0.257483463999553,0.636880332135731,0.117845000231026,NA,-0.406868031831423
"30",-7.1,61.9,-1.79612042039952,-0.162155496562702,0.726400579265298,-0.0437515225549332,NA,-0.389253514902775
"31",-6.9,61.9,-1.95085034362033,-0.0948805228720426,0.9985600736104,-0.862575594511608,NA,-0.229497637779959
